latitude,longitude,sst_celsius
14.7367,69.3828,2.47
14.7367,69.4483,2.53
14.7367,69.5792,2.63
14.7367,69.7102,2.55
14.7367,69.9066,2.45
14.7367,70.0376,2.38
14.7367,70.234,2.38
14.7367,70.2994,2.41
14.7367,70.6268,2.39
14.7367,70.8232,2.34
14.7367,70.8887,2.47
14.6713,67.5496,3.39
14.6713,67.6151,2.3
14.6713,67.6805,2.31
14.6713,67.746,2.3
14.6713,67.8115,2.28
14.6713,67.877,2.37
14.6713,68.0079,2.32
14.6713,68.0734,2.38
14.6713,68.2043,2.3
14.6713,68.2698,2.43
14.6713,68.3353,2.31
14.6713,68.4662,2.45
14.6713,68.5317,2.42
14.6713,68.6626,2.44
14.6713,68.7281,2.38
14.6713,68.7936,2.38
14.6713,68.859,2.38
14.6713,68.9245,2.48
14.6713,69.1209,2.53
14.6713,69.2519,2.39
14.6713,69.3174,2.37
14.6713,69.4483,2.51
14.6713,69.5138,2.39
14.6713,69.7102,2.46
14.6713,69.9066,2.58
14.6713,70.3649,2.56
14.6713,70.4304,2.56
14.6713,70.4959,2.62
14.6713,70.5613,2.38
14.6058,67.5496,2.34
14.6058,67.6151,2.3
14.6058,67.6805,2.29
14.6058,67.746,2.32
14.6058,67.8115,2.33
14.6058,67.877,2.34
14.6058,67.9424,2.44
14.6058,68.0079,2.37
14.6058,68.0734,2.54
14.6058,68.1388,2.26
14.6058,68.5972,2.47
14.6058,68.6626,2.38
14.6058,68.7281,2.36
14.6058,68.7936,2.37
14.6058,68.859,2.41
14.6058,69.1864,2.48
14.6058,69.2519,2.44
14.6058,69.3174,2.5
14.6058,69.4483,2.41
14.6058,69.5138,2.34
14.6058,69.5792,2.51
14.6058,70.234,2.46
14.6058,70.2994,2.38
14.6058,70.8232,2.63
14.5403,67.5496,2.32
14.5403,67.6151,2.32
14.5403,67.6805,2.29
14.5403,67.746,2.34
14.5403,67.8115,2.34
14.5403,67.877,2.4
14.5403,67.9424,2.35
14.5403,68.0734,2.39
14.5403,68.3353,2.41
14.5403,68.4007,2.41
14.5403,68.4662,2.47
14.5403,68.5317,2.37
14.5403,68.5972,2.4
14.5403,68.6626,2.48
14.5403,68.7281,2.35
14.5403,68.7936,2.41
14.5403,68.9245,2.41
