latitude,longitude,chlorophyll_mgm3
15.6534,67.877,0.4615
15.6534,68.2043,0.5957
15.6534,68.5972,0.6785
15.6534,68.6626,0.6397
15.6534,68.7281,0.6468
15.6534,68.7936,0.6237
15.6534,68.859,0.5949
15.6534,68.9245,0.5164
15.6534,69.0555,0.5875
15.6534,69.1864,0.548
15.6534,69.6447,0.5568
15.6534,69.7102,0.5906
15.6534,69.8411,0.642
15.5879,67.8115,0.5395
15.5879,68.4662,0.5982
15.5879,68.5972,0.7311
15.5879,68.7281,0.6439
15.5879,68.7936,0.6049
15.5879,68.859,0.93
15.5879,68.9245,0.5872
15.5879,68.99,0.5885
15.5879,69.0555,0.5439
15.5879,69.1209,0.5544
15.5879,69.2519,0.5473
15.5879,69.5138,0.7421
15.5879,69.5792,0.6537
15.5879,69.8411,0.6672
15.5879,69.9721,0.4471
15.5224,68.3353,0.7184
15.5224,68.4007,0.5115
15.5224,68.4662,0.5704
15.5224,68.5317,0.6851
15.5224,68.5972,0.6482
15.5224,68.7281,0.5998
15.5224,68.859,0.5501
15.5224,68.9245,0.5789
15.5224,68.99,0.6866
15.5224,69.0555,0.5662
15.5224,69.1209,0.5285
15.5224,69.1864,0.5162
15.5224,69.2519,0.542
15.5224,69.3174,0.6126
15.5224,70.8887,0.4355
15.457,67.6805,0.381
15.457,67.746,0.6073
15.457,67.8115,0.5645
15.457,67.877,0.5556
15.457,67.9424,0.5982
15.457,68.2043,0.6418
15.457,68.5317,0.6156
15.457,68.5972,0.5945
15.457,68.6626,0.6583
15.457,68.7281,0.6366
15.457,68.7936,0.6544
15.457,68.859,0.5637
15.457,68.9245,0.5884
15.457,69.1209,0.6636
15.457,69.1864,0.5218
15.457,69.5792,0.6993
15.457,70.9542,0.4411
15.3915,67.6805,3.509
15.3915,67.746,0.5736
15.3915,67.8115,0.6259
15.3915,67.877,0.6664
15.3915,67.9424,0.57
15.3915,68.2698,0.6779
15.3915,68.5972,0.7437
15.3915,68.6626,0.648
15.3915,68.7281,0.704
15.3915,68.859,0.665
15.3915,68.9245,0.6847
15.3915,68.99,0.6376
15.3915,69.0555,0.6873
15.3915,69.1209,0.6276
15.3915,69.1864,0.5705
15.3915,70.234,0.4226
15.3915,70.3649,0.3971
15.3915,70.5613,0.4216
15.326,67.6805,1.1363
15.326,67.746,0.5997
15.326,67.8115,0.6053
15.326,67.877,0.6699
15.326,67.9424,0.5987
15.326,68.0079,0.7648
15.326,68.0734,0.6145
15.326,68.1388,0.5889
15.326,68.5317,0.6158
15.326,68.5972,0.6037
15.326,68.6626,0.706
15.326,68.7281,0.6672
15.326,68.859,0.7199
15.326,69.9066,0.6867
15.326,70.103,0.5009
15.326,70.1685,0.4545
15.326,70.234,0.4155
15.326,70.2994,0.4
15.326,70.4304,0.3997
15.326,70.5613,0.3972
15.326,70.6268,0.4002
15.326,70.8232,0.4568
15.326,70.8887,0.448
15.326,71.0196,0.5196
15.2605,67.6805,0.592
15.2605,67.746,0.5453
15.2605,67.8115,0.5457
15.2605,68.0734,0.6222
15.2605,68.3353,0.7758
15.2605,68.4662,0.5725
15.2605,68.5972,0.5756
15.2605,68.6626,0.7613
15.2605,68.7936,0.7734
15.2605,68.859,0.5723
15.2605,69.2519,0.4711
15.2605,70.234,0.4501
15.2605,70.2994,0.4011
15.2605,70.4959,0.392
15.1951,67.6805,0.5466
15.1951,67.746,0.5028
15.1951,67.9424,0.5414
15.1951,68.1388,0.5948
15.1951,68.2043,0.6913
15.1951,68.3353,0.7463
15.1951,68.4007,0.6679
15.1951,68.4662,0.6229
15.1951,68.5317,0.7784
